Temperature,Humidity,Weather,Wind Speed,Time of Day,Action
26,52,clouds,3.3,morning,0
26,63,fog,3.0,evening,0
36,90,fog,3.3,afternoon,1
39,47,rain,4.0,morning,0
39,45,clear,1.1,afternoon,0
38,79,rain,0.2,evening,1
29,46,rain,1.5,night,0
21,79,clouds,3.5,morning,0
38,64,fog,0.6,afternoon,1
32,77,clear,4.4,night,1
40,89,rain,2.9,morning,1
23,80,clear,1.5,evening,0
24,50,fog,3.4,evening,0
21,42,clouds,1.8,evening,0
36,65,clouds,2.7,afternoon,1
32,57,fog,0.0,evening,0
34,56,fog,3.0,morning,0
27,66,fog,3.7,afternoon,0
23,71,clouds,4.5,night,0
37,78,clear,1.3,evening,1
26,58,rain,2.8,morning,0
33,87,fog,3.4,evening,1
40,65,clear,2.3,morning,1
27,62,rain,4.2,afternoon,0
33,90,rain,4.1,morning,1
30,48,clear,2.6,evening,0
39,80,rain,1.5,night,1
31,90,clouds,4.1,night,1
38,78,rain,0.2,afternoon,1
21,70,clear,0.0,morning,0
30,56,fog,4.1,evening,0
22,53,clouds,2.7,evening,0
27,83,rain,1.8,afternoon,0
36,88,fog,2.7,morning,1
22,62,clear,4.9,evening,0
24,47,fog,4.7,afternoon,0
34,65,clear,4.9,night,1
33,48,fog,2.4,afternoon,0
34,83,clouds,3.0,afternoon,1
25,51,fog,2.1,evening,0
23,58,clear,1.8,afternoon,0
28,61,clear,2.0,afternoon,0
24,55,fog,0.7,afternoon,0
26,44,clear,1.9,evening,0
20,78,clouds,3.6,night,0
23,46,rain,1.2,evening,0
20,79,fog,0.4,night,0
35,50,rain,0.4,evening,0
29,85,clear,0.9,evening,1
31,66,fog,0.3,morning,1
22,82,clouds,2.2,afternoon,0
20,44,clouds,3.1,night,0
36,44,fog,0.5,night,0
39,84,rain,1.3,evening,1
25,63,clear,3.7,morning,0
30,70,fog,1.9,morning,0
20,65,fog,2.5,morning,0
30,84,clouds,1.2,night,0
38,59,clear,2.2,night,0
35,83,clouds,2.8,morning,1
36,51,clouds,4.2,evening,0
36,59,rain,0.7,night,0
21,43,clouds,3.2,afternoon,0
39,60,clouds,3.4,evening,0
37,82,fog,2.9,night,1
34,88,clouds,0.1,morning,1
34,63,rain,4.4,morning,1
26,64,clouds,0.4,morning,0
22,80,fog,2.7,night,0
31,67,clouds,2.1,afternoon,1
20,68,rain,4.2,afternoon,0
30,83,fog,1.1,night,0
37,49,clear,0.2,evening,0
26,40,clear,2.2,morning,0
28,72,clouds,2.1,evening,0
32,89,clouds,3.7,evening,1
39,53,clear,3.4,night,0
24,88,rain,3.0,evening,0
23,40,clear,3.9,night,0
32,84,fog,3.8,night,1
27,71,clear,3.2,afternoon,0
25,90,clouds,3.4,morning,0
24,90,clouds,2.7,afternoon,0
33,77,clear,4.6,evening,1
30,73,clouds,3.3,afternoon,1
34,78,clear,0.5,evening,1
24,42,clear,2.3,night,0
26,56,fog,3.9,afternoon,0
28,73,clear,4.1,evening,0
37,46,rain,3.5,night,0
39,66,clear,1.1,morning,1
36,49,clouds,1.8,afternoon,0
36,71,clear,4.1,night,1
36,62,rain,4.3,afternoon,1
21,44,rain,4.5,evening,0
27,87,rain,1.3,morning,0
33,65,fog,0.9,afternoon,1
31,87,clouds,0.2,afternoon,1
24,81,clear,1.3,evening,0
23,43,clouds,4.2,evening,0
26,80,clear,2.0,afternoon,0
24,46,rain,3.3,evening,0
38,67,rain,4.1,morning,1
23,87,rain,3.7,evening,0
27,59,clouds,1.6,night,0
27,80,clear,0.4,morning,0
28,65,rain,0.7,evening,0
33,67,clouds,2.1,afternoon,1
37,60,rain,2.7,evening,0
23,57,rain,3.9,evening,0
24,70,clouds,0.5,evening,0
39,80,clouds,1.4,afternoon,1
38,49,fog,2.2,afternoon,0
30,83,rain,3.5,evening,1
27,53,clouds,2.4,night,0
25,49,rain,3.4,evening,0
40,86,clear,1.8,evening,1
33,68,rain,3.5,afternoon,1
36,83,fog,0.4,morning,1
34,76,clear,2.7,evening,1
25,47,clear,0.1,afternoon,0
34,56,clouds,3.4,night,0
21,64,rain,1.6,morning,0
35,49,clear,3.5,afternoon,0
30,72,fog,2.5,evening,1
38,82,rain,2.8,afternoon,1
29,51,clouds,3.2,evening,0
26,89,rain,3.1,afternoon,0
39,42,clear,3.7,afternoon,0
40,71,rain,0.8,morning,1
26,78,clear,4.3,morning,0
23,76,clear,3.0,afternoon,0
23,62,clouds,2.5,afternoon,0
33,83,clear,3.8,evening,1
38,82,rain,0.5,evening,1
31,64,clouds,1.1,morning,1
38,74,fog,2.0,morning,1
34,78,clouds,2.7,afternoon,1
28,59,clouds,4.8,morning,0
35,52,clear,2.2,night,0
36,43,clear,5.0,night,0
27,90,clear,2.9,afternoon,0
34,51,rain,0.5,evening,0
22,67,fog,2.9,morning,0
32,81,rain,4.2,evening,1
20,44,clear,1.0,afternoon,0
33,72,clear,4.1,morning,1
20,52,rain,4.7,afternoon,0
30,52,clear,4.9,morning,0
35,65,clear,0.0,afternoon,1
22,49,clear,1.0,night,0
29,43,clear,4.8,afternoon,0
31,76,clear,4.2,morning,1
36,58,clouds,1.1,evening,0
26,46,rain,2.9,night,0
33,88,clear,3.4,afternoon,1
20,71,fog,0.7,afternoon,0
25,43,fog,1.1,evening,0
31,87,rain,3.5,evening,1
20,69,clear,4.0,evening,0
31,69,fog,2.6,night,1
20,85,rain,0.3,afternoon,0
30,60,clear,4.8,night,0
22,61,clouds,4.1,night,0
33,58,fog,2.0,morning,0
20,52,fog,3.4,morning,0
29,83,clouds,4.6,evening,1
21,54,fog,3.4,evening,0
27,82,rain,4.1,night,0
35,57,rain,2.5,evening,0
40,51,rain,2.4,evening,0
30,85,rain,3.2,morning,0
28,58,clear,3.7,afternoon,0
31,55,fog,0.6,evening,0
34,65,fog,0.8,night,1
31,77,fog,2.5,morning,1
27,78,rain,0.5,evening,0
23,40,fog,4.4,afternoon,0
25,77,clear,0.3,morning,0
30,58,fog,0.6,night,0
29,52,clear,1.6,night,0
38,63,clear,3.8,morning,1
40,41,rain,1.0,afternoon,0
31,66,clouds,3.4,evening,1
25,78,clouds,4.1,evening,0
31,84,fog,3.9,evening,1
20,44,clouds,3.5,evening,0
21,47,fog,0.8,evening,0
39,62,clear,0.3,evening,1
37,43,clear,4.5,night,0
24,53,clear,4.3,afternoon,0
24,76,clouds,3.4,night,0
25,81,clouds,2.5,afternoon,0
34,76,fog,1.6,morning,1
27,66,rain,3.1,afternoon,0
24,73,clouds,1.9,afternoon,0
23,41,rain,0.4,afternoon,0
23,64,clouds,1.5,afternoon,0
23,50,rain,1.2,evening,0
20,40,clear,0.9,evening,0
35,79,clouds,4.7,morning,1
37,66,rain,4.8,morning,1
27,41,fog,2.0,evening,0
20,65,clouds,0.6,morning,0
38,76,rain,4.1,morning,1
38,42,clear,3.5,afternoon,0
26,48,clouds,2.1,night,0
20,63,rain,4.7,night,0
23,83,clouds,1.4,morning,0
34,90,fog,4.1,night,1
35,74,clouds,2.3,night,1
32,85,clouds,2.8,morning,1
30,41,clear,1.5,morning,0
24,67,fog,3.1,morning,0
32,78,fog,1.9,night,1
27,50,fog,1.0,morning,0
37,64,rain,3.0,evening,1
33,64,clouds,4.4,afternoon,1
31,84,clouds,1.0,night,1
28,47,rain,2.0,evening,0
30,58,clear,4.0,afternoon,0
35,50,clouds,3.6,morning,0
40,79,clear,2.4,morning,1
30,52,clouds,1.0,evening,0
33,81,clouds,3.1,afternoon,1
24,81,clouds,3.6,morning,0
32,53,clear,3.0,night,0
39,54,clouds,2.2,night,0
28,59,fog,2.9,evening,0
20,46,clouds,4.1,afternoon,0
29,68,clouds,2.8,evening,0
21,76,clouds,0.9,afternoon,0
38,86,fog,1.8,afternoon,1
23,67,fog,3.0,night,0
30,81,clouds,1.9,evening,1
20,82,clear,0.1,morning,0
36,77,rain,1.0,morning,1
34,90,fog,1.9,afternoon,1
27,79,clouds,2.8,afternoon,0
22,51,rain,3.5,afternoon,0
28,54,fog,0.3,morning,0
35,63,fog,1.1,morning,1
36,41,clouds,1.2,night,0
27,80,rain,2.1,morning,0
25,66,clear,3.9,evening,0
31,60,rain,1.2,morning,0
22,66,rain,3.4,evening,0
20,50,rain,2.3,afternoon,0
22,72,fog,4.4,afternoon,0
20,74,rain,0.5,morning,0
40,90,rain,1.1,morning,1
36,68,fog,0.6,afternoon,1
35,66,rain,0.3,afternoon,1
20,52,fog,3.7,morning,0
35,62,clouds,2.7,evening,1
29,51,clear,4.5,morning,0
23,76,rain,1.2,evening,0
35,48,rain,3.7,afternoon,0
26,40,fog,2.4,night,0
22,85,clouds,2.3,morning,0
30,49,fog,2.3,night,0
29,90,rain,3.3,evening,1
31,60,clouds,2.7,afternoon,0
29,87,fog,2.2,evening,1
37,47,fog,4.4,afternoon,0
26,51,clear,5.0,morning,0
28,79,clear,0.5,afternoon,0
38,61,clear,0.4,morning,1
24,61,clouds,1.4,evening,0
37,64,clear,1.9,morning,1
20,76,clouds,0.1,morning,0
28,86,clouds,3.6,night,0
32,75,fog,4.3,afternoon,1
32,41,rain,1.4,morning,0
28,49,clear,4.9,morning,0
28,72,clear,3.4,night,0
20,69,fog,0.4,morning,0
39,56,fog,2.2,afternoon,0
29,67,clear,4.0,afternoon,0
29,76,clear,3.5,evening,1
20,55,clouds,0.3,evening,0
35,63,clouds,4.9,afternoon,1
26,71,clear,4.9,morning,0
35,77,clouds,2.9,morning,1
26,48,clear,0.6,evening,0
32,64,fog,1.4,night,1
35,63,clouds,0.2,night,1
28,90,fog,4.5,evening,0
38,71,clear,1.5,morning,1
27,75,clouds,0.3,evening,0
40,75,fog,0.7,night,1
21,85,fog,5.0,night,0
34,69,clouds,3.3,night,1
24,68,rain,0.5,morning,0
29,57,rain,1.2,morning,0
34,72,rain,4.8,morning,1
39,79,fog,3.8,afternoon,1
20,44,fog,0.2,evening,0
21,89,fog,0.8,morning,0
24,69,rain,1.7,night,0
40,81,fog,4.6,evening,1
40,63,fog,2.4,morning,1
27,69,clear,2.5,night,0
22,65,fog,4.2,afternoon,0
27,48,clear,1.6,morning,0
27,58,clear,4.4,afternoon,0
27,78,clear,1.6,morning,0
21,40,rain,4.3,morning,0
38,78,clouds,1.4,afternoon,1
39,47,rain,2.1,morning,0
23,51,fog,1.3,afternoon,0
37,72,clear,2.5,night,1
25,57,fog,3.7,morning,0
21,66,fog,2.9,morning,0
24,84,clouds,0.3,night,0
30,79,rain,1.2,afternoon,1
22,84,clouds,4.1,morning,0
27,45,clouds,4.1,morning,0
38,53,rain,2.0,morning,0
38,55,clouds,2.6,evening,0
34,74,fog,4.8,morning,1
29,54,rain,2.7,night,0
37,71,rain,0.6,night,1
37,41,clear,1.9,evening,0
27,40,clear,1.0,night,0
33,46,clear,3.1,night,0
34,52,rain,4.9,night,0
34,70,clouds,4.5,afternoon,1
23,52,clear,0.5,afternoon,0
33,74,fog,2.5,night,1
26,56,rain,4.9,evening,0
22,70,clear,3.8,night,0
27,54,fog,1.8,night,0
23,81,clear,1.2,evening,0
29,62,fog,4.2,afternoon,0
24,48,rain,1.9,morning,0
35,79,clouds,4.0,evening,1
23,72,clear,3.6,night,0
31,84,rain,4.2,morning,1
40,42,clouds,0.2,evening,0
38,61,fog,1.2,evening,1
21,84,fog,4.0,morning,0
25,77,clouds,3.8,afternoon,0
22,74,rain,1.7,evening,0
40,89,fog,3.4,night,1
26,59,rain,3.8,evening,0
30,54,clear,3.7,morning,0
23,60,clear,3.3,morning,0
28,89,clear,0.4,afternoon,0
37,42,clear,2.7,afternoon,0
30,53,rain,1.5,morning,0
23,47,fog,1.4,night,0
28,78,fog,2.0,afternoon,0
35,67,clouds,1.1,night,1
21,86,clouds,4.0,evening,0
29,72,rain,3.7,morning,0
28,43,clear,4.9,night,0
27,81,clouds,1.2,evening,0
33,58,clouds,0.1,evening,0
27,69,fog,2.2,morning,0
34,65,fog,1.4,morning,1
24,55,rain,3.5,morning,0
38,80,clear,3.7,afternoon,1
37,53,rain,0.1,morning,0
24,72,clouds,4.5,night,0
25,77,fog,1.2,evening,0
21,52,clear,2.2,evening,0
25,85,fog,3.4,evening,0
24,80,fog,4.6,evening,0
32,81,clear,3.7,evening,1
36,43,fog,3.1,evening,0
25,58,fog,0.7,evening,0
20,88,clear,3.6,morning,0
35,71,fog,1.6,evening,1
28,84,clouds,5.0,evening,0
34,65,fog,4.0,morning,1
31,59,clouds,1.5,night,0
29,57,clouds,3.2,morning,0
35,60,clouds,4.9,afternoon,0
33,59,clear,5.0,evening,0
21,54,fog,1.5,morning,0
31,43,fog,3.5,evening,0
34,48,clear,4.0,evening,0
27,59,clouds,2.4,evening,0
35,66,fog,2.9,night,1
26,50,fog,3.9,night,0
29,50,rain,3.0,morning,0
25,51,rain,3.2,afternoon,0
38,88,clear,0.4,morning,1
35,74,clouds,3.7,night,1
38,47,clear,4.2,afternoon,0
25,41,clear,4.4,night,0
26,64,rain,4.2,night,0
39,65,fog,2.1,night,1
37,44,clouds,3.4,evening,0
39,66,fog,0.7,evening,1
40,58,rain,2.7,night,0
39,71,rain,4.3,night,1
38,41,rain,3.4,night,0
37,65,clear,4.5,evening,1
21,58,clouds,1.5,night,0
20,79,clouds,4.3,evening,0
29,59,clouds,1.8,morning,0
26,84,fog,4.4,evening,0
37,64,fog,0.4,evening,1
26,79,clouds,1.1,evening,0
36,80,clouds,0.5,evening,1
20,71,rain,4.4,afternoon,0
22,63,rain,4.2,evening,0
28,48,rain,3.0,morning,0
33,46,clouds,4.1,night,0
31,80,fog,4.2,night,1
30,63,clear,4.2,afternoon,0
28,59,clear,1.3,night,0
23,65,clear,1.3,afternoon,0
20,64,rain,1.5,evening,0
32,75,clouds,3.4,night,1
34,54,rain,4.4,morning,0
38,52,clouds,1.4,night,0
39,88,rain,3.0,night,1
40,44,clear,2.6,night,0
37,66,clear,4.2,morning,1
36,68,clear,4.6,evening,1
29,43,clear,2.9,afternoon,0
39,73,clouds,3.9,night,1
21,88,clear,4.5,evening,0
38,88,clouds,4.7,afternoon,1
30,60,fog,2.4,morning,0
27,78,fog,4.5,night,0
27,52,clear,4.3,evening,0
25,69,fog,1.0,morning,0
32,60,fog,1.7,afternoon,0
38,59,clear,4.6,morning,0
26,63,clear,3.5,evening,0
25,76,fog,0.9,night,0
27,76,clouds,2.6,afternoon,0
26,90,fog,2.7,afternoon,0
31,67,clouds,1.7,night,1
30,83,rain,3.1,night,0
27,85,clear,1.2,evening,0
24,73,fog,1.9,morning,0
39,51,rain,4.0,evening,0
26,69,rain,2.3,evening,0
27,56,clouds,3.3,afternoon,0
39,43,rain,4.6,night,0
36,80,clear,4.5,morning,1
36,45,clouds,4.8,night,0
26,62,rain,0.8,afternoon,0
26,65,rain,0.5,morning,0
22,89,clear,2.5,morning,0
38,67,fog,3.0,afternoon,1
39,53,clouds,2.5,evening,0
37,72,rain,4.7,evening,1
28,84,clear,4.7,afternoon,0
40,44,fog,0.5,afternoon,0
26,81,clouds,2.7,evening,0
29,77,fog,1.2,evening,1
39,87,clear,5.0,morning,1
21,61,clouds,4.3,night,0
29,69,fog,4.0,afternoon,0
25,49,fog,0.2,afternoon,0
23,67,rain,4.7,morning,0
37,73,clear,2.8,night,1
38,44,clear,3.3,morning,0
31,42,rain,3.0,morning,0
24,64,clouds,3.1,evening,0
23,88,clouds,2.7,evening,0
28,53,rain,3.3,evening,0
30,73,fog,1.5,night,0
31,85,fog,1.5,morning,1
39,56,clouds,2.8,evening,0
21,73,fog,1.6,morning,0
26,47,rain,3.4,night,0
37,69,rain,2.6,evening,1
36,43,clouds,0.8,morning,0
28,55,clear,1.3,morning,0
39,40,rain,0.5,evening,0
30,42,rain,3.3,morning,0
37,78,rain,0.9,evening,1
36,40,clouds,3.1,evening,0
20,69,clouds,0.8,morning,0
40,72,clouds,4.2,night,1
40,89,fog,1.6,morning,1
27,88,rain,4.6,night,0
40,40,clouds,2.1,night,0
39,85,rain,0.4,night,1
20,62,rain,1.1,morning,0
39,56,fog,0.3,afternoon,0
36,69,fog,3.9,morning,1
32,53,clear,2.5,afternoon,0
30,75,clear,4.7,morning,0
26,82,clouds,1.8,evening,0
30,57,clear,1.6,afternoon,0
39,76,rain,4.7,evening,1
39,48,clear,3.3,afternoon,0
21,70,fog,3.6,night,0
21,71,clear,2.0,evening,0
37,52,fog,3.8,afternoon,0
36,58,fog,1.4,night,0
22,87,clear,1.2,afternoon,0
32,41,clouds,2.6,afternoon,0
39,86,fog,2.2,morning,1
23,57,rain,2.0,night,0
34,49,rain,4.8,morning,0
23,71,clouds,4.8,evening,0
30,41,rain,0.6,afternoon,0
34,82,rain,0.6,night,1
23,52,clear,3.7,night,0
25,44,clear,1.3,morning,0
24,49,clouds,1.9,morning,0
38,77,fog,1.2,night,1
21,90,rain,4.7,evening,0
38,67,fog,2.0,night,1
29,52,fog,2.8,morning,0
39,86,fog,4.1,evening,1
39,86,rain,4.2,evening,1
29,52,rain,2.6,night,0
23,78,rain,0.4,morning,0
23,44,clear,4.1,night,0
39,43,clear,0.9,afternoon,0
34,78,clear,4.8,afternoon,1
22,45,clouds,1.9,morning,0
24,86,fog,2.9,night,0
25,80,clouds,0.4,evening,0
22,86,rain,0.4,afternoon,0
24,58,fog,4.3,morning,0
37,72,fog,2.5,night,1
30,43,clear,3.8,morning,0
25,72,clear,1.1,evening,0
22,41,fog,2.9,night,0
25,40,clouds,2.1,night,0
38,57,fog,4.3,morning,0
32,46,rain,4.6,night,0
36,53,rain,0.9,morning,0
21,63,fog,2.7,night,0
38,46,fog,2.4,night,0
28,76,clear,3.7,night,0
30,53,clouds,2.0,morning,0
23,74,fog,1.5,evening,0
37,60,clouds,1.5,morning,0
34,50,rain,3.6,evening,0
34,78,fog,3.2,night,1
32,54,clear,0.2,evening,0
28,54,rain,1.1,night,0
21,59,clear,1.7,night,0
32,55,rain,4.9,night,0
21,75,clouds,2.5,afternoon,0
26,74,fog,4.3,morning,0
24,52,rain,4.7,evening,0
20,88,rain,4.9,night,0
33,69,clouds,2.7,night,1
27,85,fog,4.2,afternoon,0
22,87,fog,3.5,afternoon,0
33,51,rain,4.9,afternoon,0
38,86,clear,3.9,evening,1
33,42,clouds,2.5,evening,0
40,44,clouds,2.5,evening,0
28,45,fog,1.2,afternoon,0
21,79,clouds,4.5,evening,0
35,79,clouds,2.3,night,1
34,73,rain,4.7,night,1
23,83,clear,1.9,afternoon,0
32,61,fog,4.0,afternoon,1
24,49,clear,0.4,afternoon,0
23,83,clouds,4.7,evening,0
25,56,clouds,2.1,morning,0
21,77,clear,1.0,evening,0
39,66,fog,2.6,afternoon,1
31,49,clear,4.7,afternoon,0
27,47,clear,4.1,morning,0
30,55,fog,3.9,night,0
32,58,clear,2.2,night,0
22,57,rain,4.4,evening,0
34,79,fog,2.4,evening,1
20,73,clouds,2.1,evening,0
31,64,fog,2.4,night,1
34,77,rain,0.2,evening,1
22,85,fog,3.7,night,0
33,49,clear,1.8,afternoon,0
30,60,rain,4.5,evening,0
40,75,clouds,2.7,afternoon,1
24,49,clouds,2.8,evening,0
28,72,rain,1.3,night,0
20,75,rain,2.0,morning,0
29,47,rain,0.3,morning,0
36,74,clouds,0.9,night,1
23,66,clear,2.8,afternoon,0
29,46,fog,3.1,evening,0
22,90,clear,4.9,morning,0
30,53,clear,0.2,morning,0
26,76,clear,0.5,morning,0
35,88,rain,4.0,afternoon,1
27,41,rain,5.0,evening,0
34,69,fog,2.3,evening,1
40,71,fog,0.2,morning,1
26,75,fog,1.0,evening,0
26,74,fog,1.9,evening,0
33,55,clouds,0.2,night,0
20,42,rain,2.1,morning,0
29,74,clear,3.4,night,0
20,44,clouds,1.9,afternoon,0
21,71,fog,1.1,afternoon,0
39,44,rain,2.6,afternoon,0
38,43,clouds,3.1,afternoon,0
28,44,clouds,4.8,night,0
24,69,clouds,1.7,afternoon,0
27,44,fog,1.1,afternoon,0
29,68,rain,2.0,afternoon,0
33,82,clouds,3.4,morning,1
27,78,fog,1.2,morning,0
24,75,fog,0.1,morning,0
20,56,fog,3.6,morning,0
32,47,fog,4.3,afternoon,0
30,89,fog,0.3,afternoon,1
27,52,fog,1.7,evening,0
21,60,rain,0.7,night,0
24,73,fog,3.4,night,0
30,81,fog,3.3,afternoon,1
22,55,fog,2.4,night,0
32,50,clear,2.5,evening,0
39,54,fog,1.9,afternoon,0
39,82,clear,4.8,evening,1
20,88,clouds,0.8,night,0
30,63,clouds,0.9,morning,0
25,53,clouds,0.7,evening,0
39,56,fog,3.8,night,0
35,49,rain,4.5,evening,0
24,90,rain,1.8,night,0
29,50,fog,2.6,evening,0
31,42,rain,4.3,afternoon,0
32,64,clear,4.8,evening,1
28,50,fog,1.6,night,0
40,83,clear,1.9,morning,1
23,71,rain,1.6,morning,0
30,55,fog,2.6,morning,0
21,78,fog,2.6,night,0
31,84,clouds,1.5,afternoon,1
29,56,fog,4.5,afternoon,0
22,40,rain,1.4,afternoon,0
35,80,clouds,0.5,night,1
20,81,fog,1.2,evening,0
29,48,rain,1.2,morning,0
34,50,clear,0.2,morning,0
21,87,clouds,0.6,afternoon,0
20,75,rain,2.6,night,0
32,49,clouds,1.4,morning,0
37,78,fog,4.5,night,1
31,90,clouds,2.1,evening,1
21,46,fog,4.3,afternoon,0
29,67,fog,3.5,evening,0
30,70,fog,4.3,evening,0
29,44,clear,3.8,morning,0
27,45,clouds,1.3,night,0
35,71,clouds,4.4,afternoon,1
40,68,clear,0.2,afternoon,1
35,45,clear,3.6,evening,0
25,60,clouds,3.3,evening,0
40,90,fog,1.3,morning,1
27,70,clear,1.1,night,0
25,74,rain,4.8,night,0
20,73,clouds,3.3,night,0
21,65,clouds,2.1,morning,0
35,49,clouds,1.6,evening,0
32,47,rain,3.4,evening,0
33,87,fog,4.0,afternoon,1
26,50,rain,0.7,evening,0
33,52,clouds,4.5,afternoon,0
29,71,fog,0.8,night,0
31,64,rain,3.2,evening,1
26,78,fog,4.5,afternoon,0
37,54,clear,1.9,afternoon,0
31,86,clouds,2.0,evening,1
37,43,clouds,3.9,evening,0
24,80,fog,3.4,afternoon,0
28,70,fog,4.7,night,0
34,84,clear,3.5,evening,1
40,49,fog,1.7,morning,0
39,88,clouds,4.6,afternoon,1
20,88,clear,1.4,night,0
32,51,clear,4.2,afternoon,0
36,56,clear,0.7,afternoon,0
25,70,clear,3.3,evening,0
28,48,rain,2.9,morning,0
30,63,fog,0.1,morning,0
29,51,fog,2.3,morning,0
37,78,clear,3.6,morning,1
23,61,fog,1.9,morning,0
34,69,rain,2.3,evening,1
26,61,clouds,3.8,morning,0
24,89,clouds,4.5,evening,0
38,79,rain,2.0,evening,1
20,59,clear,0.0,night,0
23,46,rain,4.6,morning,0
39,51,rain,2.6,night,0
29,81,clear,1.2,evening,1
29,47,clouds,2.6,night,0
38,65,fog,1.4,afternoon,1
35,80,clear,1.4,evening,1
32,77,clouds,1.6,afternoon,1
31,78,rain,3.9,night,1
32,87,clouds,2.9,evening,1
27,52,clear,3.4,evening,0
37,72,fog,5.0,morning,1
32,57,rain,4.5,morning,0
39,52,fog,3.4,afternoon,0
21,80,rain,2.5,night,0
22,64,rain,3.9,night,0
33,64,fog,4.5,afternoon,1
40,64,clear,1.7,afternoon,1
20,68,clouds,0.4,morning,0
20,50,clouds,1.9,afternoon,0
31,52,fog,3.7,afternoon,0
30,74,clear,0.5,afternoon,1
22,65,rain,1.4,night,0
25,83,clear,2.3,morning,0
